id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags,,
50,Utthama Alayaka Kathawak,උත්තම ආලයෙක කතාවක්,Alexandra Kollontai,ඇලෙක්සැන්ඩ්‍රා කොලොන්ටායි,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,,,
51,Soviet Rusian Keti Katha,සෝවියට් රුසියානු කෙටිකතා,Unknown,නොදනී,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,,,
52,Belkinge katha,බෙල්කින්ගේ කතා,Alexander Pushkin,ඇලෙක්සැන්ඩර් පුෂ්කින්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,,,
53,Jiwathwime Ashawa,ජීවත්වීමේ ආශාව,Vasily Shukshin,වාසිලි ශුක්ෂින්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,,,
54,Ape Kalaye Weerayek,අපේ කාලයේ වීරයෙක්,Mikhail Lermontov,මිහායිල් ලර්මන්තොව්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,,,
55,Thoragath Keti Nawakatha,තෝරාගත් කෙටි නවකතා,Ivan Turgenev,අයිවන් තුර්ගිනිව්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,,,
56,Keti Nawa Katha,කෙටි නවකතා,Chinghiz Aitmatov,චිංගීස් අයිත්මාතව්,Dedigama V. Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,,,
57,Minisage samathkam,මිනිසාගේ සමත්කම්,Unknown,නොදනී,Piyasena Manilgama,පියසේන මානිල්ගම,Sinhala,Russian Translation Novel,,,
58,Bimgei Sirakaruwa,බිම්ගෙයි සිරකරුවා,Vladimir Korolenko,කේ.ජී. කරුණාතිලක,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,Russian Translation Novel,,,
59,Tibbatha Asramayaka Ingrisi Biksuwa,ටිබෙට් ආශ්‍රමයක ඉංග්‍රීසි භික්ෂුව,Lobsang Jivaka,ලොබ්සැන්ග් ජීවක,Abhaya Hewawasam,අභය හේවාවසම්,Sinhala,Tibet Translation,,,
60,Tibet Rate Sathwasak,ටිබෙට් රටේ සත් වසක්,Heinrich Harrer,හෙන්රිච් හැරර්,M.H. Gunathilaka,එම්.එච්. ගුණතිලක,Sinhala,Tibet Translation,,,
61,Thewana Esa,තෙවන ඇස,T. Lobsang Rampa,ටී. ලොබ්සැන්ග් රම්පා,S.A. Jayasirimin Subasinghe,එස්.ඒ. ජයසිරි මින් සුබසිංහ,Sinhala,Tibet Translation,,,
62,Rampa ge kathawa,රම්පාගේ කතාව,T. Lobsang Rampa,ටී. ලොබ්සැන්ග් රම්පා,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,Tibet Translation,,,
63,Himabima,හිමබිම,Yasunari Kawabata,යසුනාරි කවබතා,Jayantha Wimalasena,ජයන්ත විමලසේන,Sinhala,Japan Translation,,,
64,Japan Sen Katha,ජපන් සෙන් කතා,Unknown,නොදනී,Chandima Wijebandara,චන්දිම විජේබණ්ඩාර,Sinhala,Japan Translation,,,
65,Me mage paradeesayayi,මේ මාගේ පාරාදීසයයි,Hyok Kang,හයොක් කෑන්ග්,Nimal Somarathna,නිමල් සෝමරත්න,Sinhala,N.korea Translation,,,
66,Niraya,නිරය,Dan Brown,ඩෑන් බ්‍රවුන්,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,English Translation Novel,,,
67,Da Vinchi Kethaya,ඩා වින්චි කේතය,Dan Brown,ඩෑන් බ්‍රවුන්,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,English Translation Novel,,,
68,Sengawunu Sankethaya,සැඟවුණු සංකේතය,Dan Brown,ඩෑන් බ්‍රවුන්,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,English Translation Novel,,,
69,Sambhawaya,සම්භවය,Dan Brown,ඩෑන් බ්‍රවුන්,Kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,English Translation Novel,,,
70,Harima Pudumai,හරිම පුදුමයි,Roald Dahl,රෝල්ඞ් ඩාල්,Chandana Mendis,චන්දන මෙන්ඩිස්,Sinhala,English Translation Novel,,,
71,Kokila Medura,කෝකිල මැදුර,Unknown,නොදනී,Chandana Mendis,චන්දන මෙන්ඩිස්,Sinhala,English Translation Novel,,,
72,Thrasthawadihu,ත්‍රස්තවාදීහු,Unknown,නොදනී,Jinadasa Lelwala,ජිනදාස ලෙල්වල,Sinhala,English Translation Novel,,,
73,Welikatharaka Atharamanwa,වැලි කතරක අතරමංව,Unknown,නොදනී,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,English Translation Novel,,,
74,Udyana Sambashanaya,උද්‍යාන සම්භාෂණය,Unknown,නොදනී,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,English Translation Novel,,,
75,Mayakari,මායකාරී,Unknown,නොදනී,Chandana Mendis,චන්දන මෙන්ඩිස්,Sinhala,English Translation Novel,,,
76,Bothale Bhoothaya,බෝතලේ භූතයා,Unknown,නොදනී,H. Jayarathne,එච්. ජයරත්න,Sinhala,English Translation Novel,,,
77,Momo,මොමෝ,Michael Ende,මයිකල් එන්ඩේ,Karunawansa Somapala,කරුණාවංශ සෝමපාල,Sinhala,English Translation Novel,,,
78,Sinhaya Sahodarayo,සින්හලයා සහෝදරයෝ,Astrid Lindgren,ඇස්ට්‍රිඩ් ලින්ඩ්ග්‍රන්,Vijitha Gunarathna,විජිත ගුණරත්න,Sinhala,English Translation Novel,,,
79,Sundarawu Ma Wisu Mitiyawatha,සුන්දර වූ මා විසූ මිටියාවත,Richard Llewellyn,රිචඩ් ලෙවලින්,Kulasiri Gunasekara,කුලසිරි ගුණසේකර,Sinhala,English Translation Novel,,,
80,Kongo,කොංගෝ,Michael Crichton,මයිකල් ක්‍රයිටන්,Gamini Kumara Vithana,ගාමිණී කුමාර විතාන,Sinhala,English Translation Novel,,,
81,Wismitha Wanantharaya,විස්මිත වනාන්තරය,Trevor La Brooy,ට්‍රැවර් ලා බෲයි,Douglas B. Ranasinghe,ඩග්ලස් බී. රණසිංහ,Sinhala,English Translation Novel,,,
82,Wismitha Wanadahana,විස්මිත වනදහන,David Grann,ඩේවිඩ් ග්‍රෑන්,G.A. Nalani,ජී.ඒ. නාලනී,Sinhala,English Translation Novel,,,
83,Mlechchayan Athara Siwmasak,ම්ලේච්ඡයන් අතර සිව්මසක්,Herman Melville,හර්මන් මෙල්විල්,Dhanapala Gunasekara,ධනපාල ගුණසේකර,Sinhala,English Translation Novel,,,
84,Hudekala Minisa,හුදෙකලා මිනිසා,W.G.C. Norwood,ඩබ්ලිව්.ජී.සී. නොර්වුඩ්,Sujiwa Dissanayaka,සුජීව දිසානායක,Sinhala,English Translation Novel,,,
85,Kalki,කල්කි,Gore Vidal,ගෝර් විඩාල්,Gamini Viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,,,
86,Jivathun Athara,ජීවතුන් අතර,Piers Paul Read,පියර්ස් පෝල් රීඩ්,Indrani Karunarathna,ඉන්ද්‍රාණි කරුණාරත්න,Sinhala,English Translation Novel,,,
87,Sudu Kalu,සුදු කලු,Harper Lee,හාපර් ලී,Chithra I. Perera,චිත්‍රා අයි. පෙරේරා,Sinhala,English Translation Novel,,,
88,Beloved,බිලව්ඩ්,Toni Morrison,ටෝනි මොරිසන්,P.B. Jayasekara,පී.බී. ජයසේකර,Sinhala,English Translation Novel,,,
89,Handana Muhuda,හඬන මුහුද,Dalene Matthee,ඩලීන් මැතී,Anula de Silva,අනුලා ද සිල්වා,Sinhala,English Translation Novel,,,
90,Sorba Nam Greekaya,සොර්බා නම් ග්‍රීකයා,Nikos Kazantzakis,නිකොස් කසන්ත්සාකිස්,Saddatissa Wadigamangawa,සද්ධාතිස්ස වඩිගමංගාව,Sinhala,English Translation Novel,,,
91,Yakada Yugaya,යකඩ යුගය,J.M. Coetzee,ජේ.එම්. කොට්සි,Gamini Viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,,,
92,Spartacus,ස්පාටකස්,Howard Fast,හොවාර්ඩ් ෆාස්ට්,Sudath Bandara,සුදත් බණ්ඩාර,Sinhala,English Translation Novel,,,
93,Buruwa Mahathage Charithapadanaya,බූරුවා මහතාගේ චරිතාපදානය,Krishan Chander,ක්‍රිෂන් චන්දර්,Gunathilaka Metiyagane,ගුණතිලක මෙටියගනේ,Sinhala,English Translation Novel,,,
94,Sopeege Lokaya,සොපීගේ ලෝකය,Jostein Gaarder,ජොස්ටින් ගෝඩර්,Rani Senarathna Rajapaksha,රාණි සේනාරත්න රාජපක්ෂ,Sinhala,English Translation Novel,,,
95,Nattal Geethaya,නත්තල් ගීතය,Charles Dickens,චාල්ස් ඩිකන්ස්,Cyril C. Perera,සිරිල් සී. පෙරේරා,Sinhala,English Translation Novel,,,
96,Robinson Kruso,රොබින්සන් කෲසෝ,Daniel Defoe,ඩැනියෙල් ඩෙෆෝ,Edwin Ranawaka,එඩ්වින් රණවක,Sinhala,English Translation Novel,,,
97,Kalu Heesaraya,කළු හීසරය,Robert Louis Stevenson,ආර්.එල්. ස්ටීවන්සන්,Suraweera Wickramasinghe,සුරවීර වික්‍රමසිංහ,Sinhala,English Translation Novel,,,
98,Ridi Asipatha,රිදී අසිපත,Ian Serraillier,ඉයන් සෙරේලියර්,Senarathna Weerasinghe,සේනාරත්න වීරසිංහ,Sinhala,English Translation Novel,,,
99,Muhudubath Wu Selaruwakuge Kathawa,මුහුදුබත් වූ නැවියෙකුගේ කතාව,Gabriel Garcia Marquez,ගේබ්‍රියෙල් ගාර්ෂියා මාර්කේස්,Piyal Jayarathna,පියල් ජයරත්න,Sinhala,English Translation Novel,,,
100,Santhiyago nam Serisaranna,සන්තියාගෝ නම් සැරිසරන්නා,Paulo Coelho,පාවුලෝ කොයියෝ,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Alchemist,,,
101,Anduru Palingu Thala Medin,අඳුරු පළිඟු තැළ මැදින්,Jostein Gaarder,ජොස්ටින් ගෝඩර්,Rani Senarathna Rajapaksha,රාණි සේනාරත්න රාජපක්ෂ,Sinhala,English Translation Novel,,,
102,Mage Pawulai Anek Sattui,මගේ පවුලයි අනෙක් සත්තුයි,Gerald Durrell,ජෙරල්ඩ් ඩරල්,Rani Senarathna Rajapaksha,රාණි සේනාරත්න රාජපක්ෂ,Sinhala,English Translation Novel,,,
103,Mas Maduwa,මස් මඩුව,Kurt Vonnegut,කර්ට් වොන්නගුට්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,English Translation Novel,,,
104,Karumakkara Kathawak,කරුමක්කාර කතාවක්,Gabriel Garcia Marquez,ගේබ්‍රියෙල් ගාර්ෂියා මාර්කේස්,Gamini Viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,,,
105,Siyak Wasaka Hudakalawa,සියක් වසක හුදකලාව,Gabriel Garcia Marquez,ගේබ්‍රියෙල් ගාර්ෂියා මාර්කේස්,Abe Dissanayaka,අබේ දිසානායක,Sinhala,English Translation Novel,,,
106,Govipola Andaraya,ගොවිපොළ අන්දරය,George Orwell,ජෝර්ජ් ඕවල්,Sumithra Rahubadda,සුමිත්‍රා රාහුබද්ධ,Sinhala,English Translation Novel,,,
107,Origon Weera Charikawa,ඔරිගන් වීර චාරිකාව,Rutgers Van Der Loeff,රට්ගර්ස් වැන් ඩර් ලෝෆ්,Rani Senarathna Rajapaksha,රාණි සේනාරත්න රාජපක්ෂ,Sinhala,English Translation Novel,,,
108,Jane Eyre,ජේන් අයර්,Charlotte Bronte,ෂාලට් බ්‍රොන්ටේ,D.M. Karunarathna,ඩී.එම්. කරුණාරත්න,Sinhala,English Translation Novel,,,
109,Jane Eyre,ජේන් අයර්,Charlotte Bronte,ෂාලට් බ්‍රොන්ටේ,R.N.H. Perera,ආර්.එන්.එච්. පෙරේරා,Sinhala,English Translation Novel,,,
110,Gini Hal Gini Keli,ගිනි හල් ගිනි කෙළි,Willard Price,විලාඩ් ප්‍රයිස්,Wijayarathna Dolawatta,විජයරත්න දොලවත්ත,Sinhala,English Translation Novel,,,
111,Kalayata Amathakawu Deshaya,කාලයට අමතක වූ දේශය,Edgar Rice Burroughs,එඩ්ගර් රයිස් බරෝස්,Ananda Sellahewa,ආනන්ද සෙල්ලහේවා,Sinhala,English Translation Novel,,,
112,Amathakawu Desayaka Atharamanwa,අමතක වූ දේශයක අතරමංව,Edgar Rice Burroughs,එඩ්ගර් රයිස් බරෝස්,Ananda Sellahewa,ආනන්ද සෙල්ලහේවා,Sinhala,English Translation Novel,,,
113,Lenwalasage Gothraya 1,ලේන්වළසාගේ ගෝත්‍රය 1,Jean M. Auel,ජීන් එම්. ඕවෙල්,Abhaya Hewawasam,අභය හේවාවසම්,Sinhala,English Translation Novel,,,
114,Lenwalasage Gothraya 2,ලේන්වළසාගේ ගෝත්‍රය 2,Jean M. Auel,ජීන් එම්. ඕවෙල්,Abhaya Hewawasam,අභය හේවාවසම්,Sinhala,English Translation Novel,,,
115,Robin Hood,රොබින් හුඩ්,Unknown,නොදනී,David Karunarathna,ඩේවිඩ් කරුණාරත්න,Sinhala,English Translation Novel,,,
116,Allan Kwartermange Weera Charikawa,ඇලන් ක්වාටර්මේන්ගේ වීර චාරිකාව,H. Rider Haggard,එච්. රයිඩර් හැගාඩ්,Chandana Mendis,චන්දන මෙන්ඩිස්,Sinhala,English Translation Novel,,,
117,Vijayagrahi konan,විජයග්‍රාහී කොනන්,Robert E. Howard,රොබට් ඊ. හොවාර්ඩ්,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,English Translation Novel,,,
118,Vijayagrahi Konan / Makarage Horawa,විජයග්‍රාහී කොනන් / මකරාගේ හෝරාව,Robert E. Howard,රොබට් ඊ. හොවාර්ඩ්,Dominic Mendis,ඩොමිනික් මෙන්ඩිස්,Sinhala,English Translation Novel,,,
119,Sendawe Sirakaruwa,සෙන්ඩාවේ සිරකරුවා,Anthony Hope,ඇන්තනි හෝප්,S. Chandrasiri Dissanayaka,එස්. චන්ද්‍රසිරි දිසානායක,Sinhala,English Translation Novel,,,
120,Hentsowe Roopat,හෙන්ට්සෝවේ රූපට්,Anthony Hope,ඇන්තනි හෝප්,S. Chandrasiri Dissanayaka,එස්. චන්ද්‍රසිරි දිසානායක,Sinhala,English Translation Novel,,,
121,Masterman Redy,මාස්ටර්මන් රෙඩි,Frederick Marryat,ෆෙඩ්රික් මැරියට්,K.G. Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,English Translation Novel,,,
122,Karnal saha Erendira,කර්නල් සහ එරෙන්දිරා,Gabriel Garcia Marquez,ගේබ්‍රියෙල් ගාර්ෂියා මාර්කේස්,Janaka Inimankada,ජනක ඉනිමන්කඩ,Sinhala,English Translation Novel,,,
123,Piyapathak wan Jivithayak,පියාපතක් වන් ජීවිතයක්,Milan Kundera,මිලාන් කුන්දේරා,Gamini Wijethunga,ගාමිණී විජේතුංග,Sinhala,English Translation Novel,,,
124,Eva Luna,එවා ලූනා,Isabel Allende,ඉසබෙල් අයියන්දේ,Gamini Viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,,,
125,Gringo Mahalla,ග්‍රින්ගෝ මහල්ලා,Carlos Fuentes,කාර්ලෝස් ෆුවෙන්ටේස්,Pasan Kodikara,පසන් කොඩිකාර,Sinhala,English Translation Novel,,,
126,Seeya saha Munubura,සීයා සහ මුනුබුරා,Maxim Gorky,මැක්සිම් ගෝර්කි,Bandusena Gunasekara,බන්දුසේන ගුණසේකර,Sinhala,English Translation Novel,,,
127,Sangu Andaheraya,සංගු අඬහැරය,Marie Majerova,මාරි මජරෝවා,K.B. Sugathadasa,කේ.බී. සුගතදාස,Sinhala,English Translation Novel,,,
128,Lokaye Asawa,ලෝකයේ ආසාව,H. Rider Haggard,එච්. රයිඩර් හැගාඩ්,S. Chandrasiri Dissanayaka,එස්. චන්ද්‍රසිරි දිසානායක,Sinhala,English Translation Novel,,,
129,Kung fu,කුංග් ෆූ,Arthur Waley,ආතර් වේලි,Senarathna Weerasinghe,සේනාරත්න වීරසිංහ,Sinhala,English Translation Novel,,,
130,Buruma Samaya,බුරුම සමය,George Orwell,ජෝර්ජ් ඕවල්,Ananda Sellahewa,ආනන්ද සෙල්ලහේවා,Sinhala,English Translation Novel,,,
131,Wanawasanaya,වනවාසනය,James Vance Marshall,ජේම්ස් වොන්ස් මාර්ෂල්,Upali Kannangara,උපාලි කන්නන්ගර,Sinhala,English Translation Novel,,,
